external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_297,1510.09,OTRAS PLANTAS (INCLUSO SUS RAICES),2008-01-25,
product.product_298,01510.09.1,"PLANTAS MERISTEMATICAS (SEMILLAS BIOTECNOLOGICAS): BANANO, PLATANO, CAÑA DE AZUCAR, HORNAMENTALES Y ",,
product.product_299,152,FLORES Y CAPULLOS CORTADOS  INCLUSO RAMILLETES  CORONAS  ARREGLOS FLORALES Y ARTICULOS SIMILARES,,
product.product_300,1520,"FLORES Y CAPULLOS CORTADOS, INCLUSO RAMILLETES, CORONAS, ARREGLOS FLORALES Y ARTICULOS SIMILARES",,
product.product_301,1520,"FLORES Y CAPULLOS CORTADOS DEL TIPO ADECUADO PARA RAMILLETES O ADORNOS, FRESCOS, SECOS, TENIDOS, BLANQUEADOS, IMPREGNADOS O PREPARADOS DE OTRA FORMA",,
product.product_302,01520.00.1,FLORES FRESCAS CORTADAS Y EMPACADAS,,
product.product_303,1520.01,"CESTAS DE FLORES, CON FLORES O CAPULLOS, CORONAS DE FLORERIA",,
product.product_304,01520.01.1,"CESTAS DE FLORES, CON FLORES O CAPULLOS, CORONAS DE FLORERIA",,
product.product_305,153,SEMILLAS DE FLORES Y FRUTOS,,
product.product_306,1530,SEMILLAS DE FLORES Y FRUTOS,,
product.product_307,1530,SEMILLAS  DE  PLANTAS  HERBACEAS  CULTIVADAS  PRINCIPALMENTE  POR SUS  FLORES,,
product.product_308,01530.00.1,SEMILLAS  DE  FLORES ORNAMENTALES,,
product.product_309,1530.01,"SEMILLAS DE FRUTOS Y ESPORAS N.C.P.:SEMILLAS DE ARBOLES FRUTALES O FORESTALES, DE TABACO, ETC.",,
product.product_310,01530.01.1,SEMILLAS DE ARBOLES FRUTALES Y FORESTALES VARIEDAD HIBRIDO(A),,
product.product_311,01530.01.2,SEMILLAS DE ARBOLES FRUTALES Y FORESTALES VARIEDAD PURA,,
product.product_312,154,SEMILLAS DE VEGETALES EXCEPTO LAS SEMILLAS DE REMOLACHA,,
product.product_313,1540,SEMILLAS DE VEGETALES EXCEPTO LAS SEMILLAS DE REMOLACHA,,
product.product_314,1540,"OTRAS SEMILLAS, FRUTOS Y ESPORAS, UTILIZADAS PARA SIEMBRA",,
product.product_315,01540.00.1,SEMILLAS DE PASTO VARIEDAD HIBRIDO(A),,
product.product_316,01540.00.2,SEMILLAS DE PASTO VARIEDAD PURA,,
product.product_317,1540.01,"SEMILLAS DE HORTALIZAS: SEMILLAS DE CEBOLLAS, PUERROS, AJOS, DE COLES, COLIFLORES, BROCOLI, NABOS, ZANAHORIA, LECHUGA, TOMATES, ETC.",,
product.product_318,01540.01.1,SEMILLAS DE HORTALIZAS VARIEDAD HIBRIDO(A),,
product.product_319,01540.01.2,SEMILLAS DE HORTALIZAS VARIEDAD PURA,,
